Park;lat;log;Gym;glat;glog
Kelvingrove Park;55.86831874;-4.283500673;PureGym Glasgow;55.8599;4.2593
Mansfield Park;55.87148026;-4.302048683;Central Strength Gym Glasgow;55.85754;-4.25852
Partick Plaza;55.87118591;-4.302361965;Sportsdirect Fitness;55.85756;-4.25973
Glasgow Green;55.85061133;-4.238491064;Sweat! Gym Glasgow;55.86113;-4.27974
Queen's Park;55.857155;-4.284523;Claire Rodgers Yoga;55.87167;-4.29792
Dowanhill Park;55.87418771;-4.300456524;The Gym Glasgow Bothwell Street;55.86137;-4.2624
Cross Park;55.87442245;-4.316257954;DMC Fitness;55.86593;-4.27755
Thornwood park;55.87116003;-4.318279267;Nuffield Health Fitness & Wellbeing Gym;55.86298;-4.28669
Naseby Park;55.87850069;-4.319506645;PeakFit Park Training;55.86657;-4.28042
Marshall Park;55.87928788;-4.323583602;PureGym Glasgow Charing Cross;55.86794;-4.27105
Victoria Park;55.87651458;-4.333703042;Scottish Muay Thai Council - Glasgow HQ;55.86449;-4.2833
